"Project Title","Project Acronym","Project Description","Project ID","Finance Project Code","Finance Unit Code",Status,"Lockdown Status","Success Status","Assigned To","Duration (Years)","Project Dates Start","Project Dates End","Proposed End Date","Project Type","Project Activity Type",Tags,Funder,Scheme,"HESA Funder Category","VAT Code","VAT Review Complete?",Opportunity,"Name of Call","Sub-section of Call","URL of Call","URL of Sub-section","Funder Deadline","Award Ceiling","Bid Submitted Date","Supplement Submitted Date","Auto Progress Date","Bid Awarded Date","Supplement Awarded Date","Project Lead",Co-Investigator(s),"Other Editors",Visibility,"View Access","Lead Organisation","Paid via Lead Organisation",Collaborator(s),Subawardee(s),Partner(s),"Other Organisation(s)","Lead Subproject","Other Subprojects","All Subprojects","Lead Org Unit","Other Org Units","All Org Units","Lead Department","NHS Involvement","NHS Reference","Research Areas",Themes,"Research Centres/Groups",Countries,"Pre-award Liaison","Post-award Liaison",Portfolio,"Portfolio Group","Business Liaison","International Development Office Project","Project Phase","Supplementary T&Cs?","Supplementary T&C Details","Bid Restrictions?","Bid Restriction Details","Sponsor Data Retention Limit","Peer Review","Peer Review Notes","Willing to Peer Review Others","Project SharePoint Link","Ethics Implications","Resource Implications","Resource Implication Details","Rationale for Application to this Funder","Related Project(s)","Corporation Tax","Use Bid as a Learning Tool","Transferred In","Transferred In Date","Transferred From","Transferred Out","Transferred Out Date","Transferred To",Retrospective,"HESA Cost Centre","Funder Award Reference","Income Method","Unit of Assessment","HEBCI Main","HEBCI Sub","Material Code","Approved Date","Success Probability %","Lessons Learned Review Completed","Final Report Submitted","Location of Archived Hardcopy","Data Verification Override",Notes,"Price to Funder at Submit","Price to Funder","Cost to HEI at Submit","Cost to HEI","Cost to Funder at Submit","Cost to Funder","Surplus / -Deficit","% Recovery","Marginal Surplus / -Deficit","Marginal % Recovery","Contribution to Overheads","% Contribution to Overheads","Directly Incurred Expenditure Budget","Expenditure Budget","Actual Spend","Expenditure Balance","Committed Spend","Available Balance","Directly Incurred Costs","Directly Incurred Costs (ex Partner Costs)","Directly Incurred Expenditure Budget (ex Partner Costs)","Expenditure Budget (ex Partner Costs)","Actual Spend (ex Partner Costs)","Expenditure Balance (ex Partner Costs)","Committed Spend (ex Partner Costs)","Available Balance (ex Partner Costs)","Directly Incurred Non Staff Costs (ex Partner Costs)","Consumables Cost to HEI","Equipment Cost to HEI","Directly Allocated Costs","Directly Allocated Staff Costs","Estates Costs","Technician Costs","Indirect Costs","Exceptions Costs","Price to Funder (ex Partner Costs)","Price to Funder at Submit (ex Partner Costs)","Cost to HEI (ex Partner Costs)","Cost to HEI at Submit (ex Partner Costs)","Cost to Funder (ex Partner Costs)","Cost to Funder at Submit (ex Partner Costs)","Surplus / -Deficit (ex Partner Costs)","% Recovery (ex Partner Costs)","Marginal Surplus / -Deficit (ex Partner Costs)","Marginal % Recovery (ex Partner Costs)","Contribution to Overheads (ex Partner Costs)","% Contribution to Overheads (ex Partner Costs)",Updated,"Milestone Template","Public Status","Public URL",Created,"Created By","Last Event Date"
"Using Vernacular Analysis to Enhance Women’s Participation in Local, Regional and National Peacebuilding Processes in Nigeria",,"This project aims to enhance women's participation, leadership, and representation in dialogues and discussions regarding security and peace in Nigeria. In an era marked by decline in the responsiveness of governments to the needs of society, devastating climate change incidents, and violent conflict, there is an urgent need to enhance the capacity of women to respond to these problems in ways that reflect their interests at all levels of society.  As the UN Sustainable Development Goals, Resolution 1325, and Nigeria and the United Kingdom’s  national women, security and peace agenda, in theory, emphasise the importance of women in development, security, peace, and conflict resolution, the question of opportunities and capacity building remains a major policy issue. How can Nigerian women’s participation in discussions, dialogues, leadership, and representation in decisions on security, peace, conflict resolution be enhanced?  Our project is intended to respond to this question on a vernacular analysis based on a theory of change that suggests more involvement of women in peacebuilding processes if they are supported with capacity building and learning opportunities.

In recent years, violent conflict and insecurity have increased across states and communities in Nigeria. Banditry, kidnapping, cultism, armed robbery, indigenous-settler disputes, intra- and intergroup conflicts, and farmer-herder conflicts occur to varying degrees across the country. Women are disproportionately impacted by these violent acts.  Too frequently, women are excluded from decisions regarding the prevention and management of such conflicts.  While women are present in the peacebuilding work of non-governmental organizations, cultural and government institutions continue to marginalize them on patriarchal grounds",628821,,,"Bid Submission",Locked,Pending,"Pre-award Admin",2,2023-12-01,2025-03-31,,"RO - Standard Research",Research,,"FOREIGN & COMMONWEALTH OFFICE","FOREIGN & COMMONWEALTH OFFICE Default Scheme","UK Central Government","Y6 Income - Outside the Scope",,,"Funding to support women’s participation in local, regional and national peace processes",,https://www.gov.uk/international-development-funding/funding-to-support-womens-participation-in-local-regional-and-national-peace-processes?utm_medium=email&utm_campaign=govuk-notifications-topic&utm_source=92723230-c491-4140-872d-8985622537fd&utm_content=daily#overview,,"2023-10-20 17:00",850000.00,,,,,,"Zainab Mai-Bornu (ZMB2)","Diane Levine (DTL6)","Andrew Morden (AWM22)","Only people involved in this project",,,Yes,,"Partner not Listed",,,"SS/HP: Politics & International Relation","SS/CR: Criminology","SS/CR: Criminology,SS/HP: Politics & International Relation","SS/HP: Politics & International Relation","SS/CR: Criminology","SS/CR: Criminology,SS/HP: Politics & International Relation",,,,,,"99 - Not Applicable for Institute reporting",,"Ellen Puurman (EP258)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,"Politics & international studies",,,,,,,"2023-10-17 15:23",,,,,,1.,,754440.71,,754745.43,,754440.71,-304.72,99.96,167058.71,22.14,85195.93,11.29,587382.00,754440.71,0.00,754440.71,0.00,754440.71,587382.00,437382.00,437382.00,754440.71,0.00,754440.71,0.00,754440.71,437382.00,0.00,0.00,100345.68,81862.78,8482.91,0.00,67017.75,0.00,593440.71,,593745.43,,593440.71,,-304.72,99.95,156058.71,26.3,74195.93,12.5,"2023-10-19 16:43:44",,Discoverable,,"2023-10-06 17:33:44","Zainab Mai-Bornu (ZMB2)","2023-10-19 16:43"
"Avoidable Deaths Network",,,635042,,,"Bid Development",,Pending,"Nibedita Ray Bennett (NSRB1),Pre-award Admin",1,2023-11-01,2024-10-31,,"OO - Other Services (OSR)",Other,,"Funder not listed - Commercial","Funder not listed - Commercial Default Scheme","EU Industry, Commerce & Public Corporations","Y5 Income - Services to EU - Zero Rate",,,,,,,,,,,,,,"Nibedita Ray Bennett (NSRB1)",,,"Only people involved in this project",,,Yes,,,,,"SS/BU: M'ing, Innov', Str'gy & Ops, Dept",,"SS/BU: M'ing, Innov', Str'gy & Ops, Dept","SS/BU: M'ing, Innov', Str'gy & Ops, Dept",,"SS/BU: M'ing, Innov', Str'gy & Ops, Dept",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,0.00,0,0.00,0,0.00,0,"2023-10-19 16:39:56",,Private,,"2023-10-19 15:28:45","Manish Asiani (MA689)","2023-10-19 16:39"
"Consultancy for Protection Approaches",,"Protection Approaches (PA) are conducting research in partnership with On Your Side (a third-party reporting mechanism for people from the South or South-East Asian communities who have been victim of a hate crime). The project will explore the nature, extent and impact of hate crime on these particular community members. PA will use this research as an evidence-base to seek further funding from the government for victim support services. PA are seeking support with survey design and dissemination from The Centre for Hate Studies.",568503,,,"Bid Submission",Locked,Pending,"Pre-award Admin",2,2023-07-01,2024-10-31,,"OH - Consultancy (OSR)",Research,,"Protection Approaches","Protection Approaches Default Scheme","UK Charities (Other Process)","YS Income - Standard Rated 20% VAT",,,,,,,,,,,,,,"Amy Clarke (ALC51)",,,"Only people involved in this project",,,Yes,,,,,"SS/CR: Criminology",,"SS/CR: Criminology","SS/CR: Criminology",,"SS/CR: Criminology",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin","Josef Walker (JAW69)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,Consultancy,"Non Commercial Client",,"2023-10-19 13:50",,,,,,"I would like to know what my day rate is in order to establish how much time I can offer PA to help support their research project.",,3250.00,,2785.10,,2780.08,464.89,116.69,1905.02,58.62,1905.02,58.62,1339.95,2780.08,0.00,2780.08,0.00,2780.08,1344.98,1344.98,1339.95,2780.08,0.00,2780.08,0.00,2780.08,0.00,0.00,0.00,163.98,0.00,163.98,0.00,1276.15,0.00,3250.00,,2785.10,,2780.08,,464.89,116.69,1905.02,58.62,1905.02,58.62,"2023-10-19 16:37:52",,Private,,"2023-06-15 16:28:03","Amy Clarke (ALC51)","2023-10-19 16:37"
"SNEEZI Partnership with University of Edinburgh",,"The University of Edinburgh is applying for funding to develop instrumentation for future Earth observation constellations in a proposal titled “Sensing NO2 Emissions to Evaluate net-Zero Initiatives: SNEEZI”. Project kick-off is expected 1 October 2023, with an 18-month project duration. As part of this project, they aim apply a discrete wavelength remote sensing approach for nitrogen dioxide detection. Since the team of Dr Joshua Vande Hey at University of Leicester have published work in this area, University of Edinburgh, want to partner with UoL.  We'll provide high-level guidance during early-stage laboratory trials of the core instrument concept.  We'll perform simulations to underpin our advice.",588199,,,"Bid Approval",Locked,Pending,"Pre-award Admin",2,2023-10-01,2025-03-31,,"RO - Standard Research",Research,,"STFC Science & Technology Facilities Cnl","STFC Default Scheme","Research Councils - STFC","Y6 Income - Outside the Scope",,,,,https://ceoi.ac.uk/opportunities/current-calls/earth-observation-marine-and-climate-mission-development-programmeeo4mcm/,,,,,,,,,"Joshua Vande Hey (JVH7)",,"Sophie Bricknell (SLB94)","Only people involved in this project",,"UNIVERSITY OF EDINBURGH",Yes,,,,,"SE/PA: Earth Observation Science",,"SE/PA: Earth Observation Science","SE/PA: Earth Observation Science",,"SE/PA: Earth Observation Science",,,,,,"99 - Not Applicable for Institute reporting",,"Sara Mounteney (SLM81)",,"Pre-award Admin (Bid Development)","Pre-award Admin","Ahtesham Mahmood (AM1332)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,87790.84,,110083.71,,109738.56,-22292.86,79.75,58552.56,66.7,36222.20,41.26,29238.29,109738.56,0.00,109738.56,0.00,109738.56,29238.29,29238.29,29238.29,109738.56,0.00,109738.56,0.00,109738.56,1350.00,0.00,0.00,37349.35,22330.35,13402.10,1616.90,43496.07,0.00,87790.84,,110083.71,,109738.56,,-22292.86,79.75,58552.56,66.7,36222.20,41.26,"2023-10-19 16:33:26",,Discoverable,,"2023-07-21 15:35:02","Joshua Vande Hey (JVH7)","2023-10-19 16:38"
"Anna Joy Drury Dorothy Hodgkin Fellowship additional funds",,,556342,RP13W556342,,"Supplement Submission",Locked,Successful,"Pre-award Admin",5,2023-10-01,2028-09-30,,"RF - Research Fellowship",Research,,"ROYAL SOCIETY The Royal Society","Newton International Fellowship","Research Councils (BEIS) - Roy Society and Brit Academy","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,,,,,,,"2023-06-02 13:40",,"2024-06-01 00:00",2023-09-12,,"Anna Joy Drury (AJD69)",,,"Only people involved in this project",,,Yes,,,,,"SE/GE: Geography",,"SE/GE: Geography","SE/GE: Geography",,"SE/GE: Geography",,,,,,"99 - Not Applicable for Institute reporting",,,"James Bird (JHBB1)","Pre-award Admin (Supplement Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,"Geography & environmental studies",DHF\R1\221091,"10 - Automatic payment by Funder - Actual Costs",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-06-07 08:52",,,,,,,399923.74,402088.06,468247.48,462669.33,439904.89,439904.88,-60581.27,86.91,45609.07,11.34,45609.07,11.34,333714.54,439904.88,0.00,439904.88,0.00,439904.88,356478.99,356478.99,333714.54,439904.88,0.00,439904.88,0.00,439904.88,118269.32,0.00,0.00,12091.21,0.00,12091.21,0.00,94099.13,0.00,402088.06,399923.74,462669.33,468247.48,439904.88,439904.89,-60581.27,86.91,45609.07,11.34,45609.07,11.34,"2023-10-19 16:24:17",,Discoverable,,"2023-05-23 14:32:28","Gary Mawby (GM276)","2023-10-19 16:24"
"Time-resolved Electron Diffraction of metal redox enzyme crystals",,"We propose to develop methods collect single images (stills) from many micro crystals that can be added to make full datasets. By scanning the electron beam over the grid and continuously collecting the frames, we can select those with diffraction for inclusion, similar to how crystal jets are used at XFELs. Almost zero dose data. This technique offers the potential to react micro crystal suspensions (which will have very short diffusion path) and cryo-trap short-lived states on the enzyme reaction pathway by using a device analogue to a the continuous-flow enzymology apparatus and projecting onto the grid before plunging into a cryo-bath. Overall this method shows promise in studying enzyme mechanisms with minimal disturbance to the structures utilising the increasing number of high-end cryoEM in UK.",578213,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",1,2023-08-01,2024-07-31,,"TS - Studentship",Research,,"Funder not listed - Commercial","Funder not listed - Commercial Default Scheme","EU Industry, Commerce & Public Corporations","Y5 Income - Services to EU - Zero Rate",,,,,,,,,"2023-10-19 16:20",,"2024-10-18 04:20",,,"Hanna Kwon (HK295)",,,"Only people involved in this project",,,Yes,,,,,"LS: Molecular & Cell Biology",,"LS: Molecular & Cell Biology","LS: Molecular & Cell Biology",,"LS: Molecular & Cell Biology",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-08-02 17:13",,,,,,"Rosalind Franklin Institute via EPSRC DTP",18000.00,18000.00,18900.00,18900.00,18000.00,18000.00,-900.00,95.24,-900.00,-5,-900.00,-5,18000.00,18000.00,0.00,18000.00,0.00,18000.00,18900.00,18900.00,18000.00,18000.00,0.00,18000.00,0.00,18000.00,18900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18000.00,18000.00,18900.00,18900.00,18000.00,18000.00,-900.00,95.24,-900.00,-5,-900.00,-5,"2023-10-19 16:20:55",,Private,,"2023-07-04 20:00:32","Hanna Kwon (HK295)","2023-10-19 16:20"
"HRUK Trial Initiative","Trials Initiative","A business manager to support the national trials initiative",625237,,,"Bid Approval",Locked,Pending,"Pre-award Admin",3,2024-03-01,2027-02-28,,"RO - Standard Research",Research,,"HEART RESEARCH UK HEART RESEARCH UK","HEART RESEARCH UK Default Scheme","UK Charities (Other Process)","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,"Trustees Discretionary Grant 2023",,,,"2023-11-13 13:05",100000.00,,,,,,"Gavin Murphy (GJM19)","Hardeep Aujla (HA200)",,"Only people involved in this project",,,Yes,,,,,"LS: Cardiovascular Sciences",,"LS: Cardiovascular Sciences","LS: Cardiovascular Sciences",,"LS: Cardiovascular Sciences",,No,,,,"99 - Not Applicable for Institute reporting","UNITED KINGDOM","Kerry Warner (KW153)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,"Clinical medicine",,,,"Not Applicable for HEBCI","Not applicable for HEBCI",,,,,,,,,,88268.06,,88599.06,,88268.06,-331.00,99.63,-331.00,-0.37,-331.00,-0.37,88268.06,88268.06,0.00,88268.06,0.00,88268.06,88599.06,88599.06,88268.06,88268.06,0.00,88268.06,0.00,88268.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88268.06,,88599.06,,88268.06,,-331.00,99.63,-331.00,-0.37,-331.00,-0.37,"2023-10-19 16:18:20",,Discoverable,,"2023-10-02 13:00:49","Gavin Murphy (GJM19)","2023-10-19 16:20"
Rocketroll,,"ESA study  to develop a basic reactor concept, mission use cases and roadmap for power and propulsion. Leicester role will be as consultants to ESA study lead in France. Leicester are an integral part of the consortium.",516877,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",1,2023-04-01,2024-03-31,,"OH - Consultancy (OSR)",Research,,"Funder not listed - Commercial","Funder not listed - Commercial Default Scheme","EU Other (Including non-competitive Based Charities)","Y5 Income - Services to EU - Zero Rate",,,Rocketroll,,,,"2023-03-31 11:45",,"2023-10-19 16:05",,"2024-10-18 04:05",,,"Alessandra Barco (AB849)","Richard Ambrosi (RMA8)","Bev Robinson (BAR4)","Only people involved in this project",,,Yes,,,,,"SE/PA: Physics & Astronomy",,"SE/PA: Physics & Astronomy","SE/PA: Physics & Astronomy",,"SE/PA: Physics & Astronomy",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin","Ahtesham Mahmood (AM1332)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,Consultancy,"Non Commercial Client",,"2023-10-04 22:52",,,,,,,9615.38,9615.38,6261.16,6261.16,4276.35,4276.35,3354.22,153.57,6264.40,65.15,6264.40,65.15,3336.89,4276.35,0.00,4276.35,0.00,4276.35,3350.98,3350.98,3336.89,4276.35,0.00,4276.35,0.00,4276.35,0.00,0.00,0.00,331.36,0.00,331.36,0.00,2578.82,0.00,9615.38,9615.38,6261.16,6261.16,4276.35,4276.35,3354.22,153.57,6264.40,65.15,6264.40,65.15,"2023-10-19 16:06:09",,Private,,"2023-03-09 11:39:27","Bev Robinson (BAR4)","2023-10-19 16:06"
LeicSurvey,,,635056,,,"Bid Development",,Pending,"Himanshu Kaul (HK291),Pre-award Admin",2,2023-11-01,2025-10-31,,"RO - Standard Research",Research,,"Funder not listed - UK Charity","Funder not listed - UK Charity Default Scheme","UK Charities (Open Competition & External Peer Review)","Y6 Income - Outside the Scope",,,,,,,,,,,,,,"Himanshu Kaul (HK291)",,,"Only people involved in this project",,,Yes,,,,,"SE/EN: Engineering",,"SE/EN: Engineering","SE/EN: Engineering",,"SE/EN: Engineering",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,0.00,0,0.00,0,0.00,0,"2023-10-19 15:37:36",,Private,,"2023-10-19 15:36:49","Manish Asiani (MA689)","2023-10-19 15:37"
"Biometric Retention/Governance in UK.",,"Scotland/ England and Wales - examination of Protection of Freedoms Act legal parameters for forensic biometric retention. Also an examination of the changing landscape of governance of forensic biometric use/retention.",583925,,,"Bid Development",,Pending,"Carole McCartney (CM827),Pre-award Admin",2,2024-09-01,2026-08-31,,"RO - Standard Research",Research,,"ESRC ESRC (ECON & SOC RES COUNCIL)","ESRC Default Scheme","Research Councils - ESRC","Y6 Income - Outside the Scope",,,"ESRC responsive mode: research grants round one",,https://www.ukri.org/opportunity/esrc-responsive-mode-research-grant-round-one/,,"2023-09-28 15:50",1000000.00,,,,,,"Carole McCartney (CM827)",,,"Only people involved in this project",,"University of Strathclyde",Yes,"University of Northumbria at Newcastle",,,,"SS/LL: Law",,"SS/LL: Law","SS/LL: Law",,"SS/LL: Law",,,,,,"99 - Not Applicable for Institute reporting",,"Ellen Puurman (EP258)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,Law,,,,,,,,,,,,,"I will NOT be PI on the project - but a Co-I. The PI will be Genevieve Lennon from Strathclyde University.",,48647.98,,60809.98,,60809.98,-12162.00,80,7045.20,14.48,7045.20,14.48,41602.78,60809.98,0.00,60809.98,0.00,60809.98,41602.78,41602.78,41602.78,60809.98,0.00,60809.98,0.00,60809.98,0.00,0.00,0.00,2187.00,0.00,2187.00,0.00,17020.20,0.00,48647.98,,60809.98,,60809.98,,-12162.00,80,7045.20,14.48,7045.20,14.48,"2023-10-19 15:37:22",,Discoverable,,"2023-07-13 15:48:38","Carole McCartney (CM827)","2023-10-19 15:37"
